file_name	seed	formula_x	formula_y
2018-11-17-12-55_seed_8217.png	8217	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-12-55_seed_38.png	38	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-12-55_seed_7544.png	7544	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-12-56_seed_2605.png	2605	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-12-56_seed_313.png	313	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^2)
2018-11-17-13-02_seed_7599.png	7599	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-02_seed_2285.png	2285	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-02_seed_7848.png	7848	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-02_seed_6662.png	6662	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-02_seed_1382.png	1382	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-09_seed_4531.png	4531	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-09_seed_4975.png	4975	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-09_seed_2591.png	2591	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-09_seed_7880.png	7880	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-09_seed_7458.png	7458	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^3 - cos(x_i^3)
2018-11-17-13-10_seed_1893.png	1893	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2018-11-17-13-11_seed_7459.png	7459	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
2018-11-17-13-11_seed_6288.png	6288	runif(1, -1, 1) * x_i^2 - sin(y_i^2)	runif(1, -1, 1) * y_i^2 - cos(x_i^2)
